raw_speciesname_europe,fit.x,NCountries,nCountriesRLEur,RedListCategoryEurope,EuropeanEndemic,Endemic,EdgeOfRange,fit.y,nCountriesRLEU,NCountriesEU,RedListCategoryEU,HabitatsDirective
Leptidea sinapis,7.15,39,39,LC,0,0,0,8,26,26,LC,0
Muschampia proto,7.08,11,11,LC,0,0,0,4.62,6,6,LC,0
Pyrgus cacaliae,7.02,11,11,LC,EuropeanEndemic,0,0,11.78,7,7,LC,0
Boloria chariclea,6.9,4,4,NT,0,0,0,7.33,2,2,NT,0
Colias tyche,6.9,4,4,LC,0,0,0,7.33,2,2,LC,0
Oeneis norna,6.9,4,4,NT,0,0,0,7.33,2,2,NT,0
Pyrgus centaureae,6.9,4,4,LC,0,0,0,7.33,2,2,LC,0
Coenonympha glycerion,6.77,31,31,LC,0,0,0,11.21,20,20,LC,0
Polyommatus amandus,6.68,32,32,LC,0,0,0,8.15,20,20,LC,0
Boloria napaea,6.63,11,11,LC,0,0,0,7.33,7,7,LC,0
Melitaea ornata,6.6,16,16,0,0,0,0,9.92,10,10,0,0
Thecla betulae,6.59,39,39,LC,0,0,0,8.22,26,26,LC,0
Erebia pluto,6.57,7,7,LC,EuropeanEndemic,0,0,7.33,5,5,LC,0
Melanargia larissa,6.56,9,9,LC,0,0,0,6.43,4,4,LC,0
Agriades glandon,6.55,8,8,LC,EuropeanEndemic,0,0,9.14,5,5,LC,0
Cupido argiades,6.53,33,33,LC,0,0,0,8.96,21,21,LC,0
Coenonympha arcania,6.5,35,35,LC,0,0,0,10.14,23,23,LC,0
Nymphalis antiopa,6.34,36,36,LC,0,0,0,7.31,23,23,LC,0
Satyrus ferula,6.31,15,15,LC,0,0,0,9,8,8,LC,0
Carterocephalus palaemon,6.29,36,36,LC,0,0,0,6.66,23,23,LC,0
Melitaea varia,6.25,4,4,LC,EuropeanEndemic,0,0,10.5,3,3,LC,0
Lycaena virgaureae,6.24,35,35,LC,0,0,0,11.07,23,23,LC,0
Anthocharis euphenoides,6.17,5,5,LC,EuropeanEndemic,0,0,5.75,4,4,LC,0
Hipparchia fidia,6.17,5,5,LC,0,0,0,5.75,4,4,LC,0
Satyrus actaea,6.17,5,5,LC,EuropeanEndemic,0,0,5.75,4,4,LC,0
Agriades orbitulus,6.13,10,10,LC,0,0,0,8.12,6,6,LC,0
Brenthis ino,6.09,36,36,LC,0,0,0,9.03,23,23,LC,0
Libythea celtis,6.08,22,22,LC,0,0,0,6.06,13,13,LC,0
Erebia embla,6,6,6,LC,0,0,0,13.25,4,4,LC,0
Speyeria aglaja,5.87,39,39,LC,0,0,0,8.94,26,26,LC,0
Pyrgus malvoides,5.83,11,11,LC,EuropeanEndemic,0,0,5.22,8,8,LC,0
Erebia melampus,5.77,6,6,LC,EuropeanEndemic,0,0,4.8,4,4,LC,0
Erebia tyndarus,5.77,6,6,LC,EuropeanEndemic,0,0,4.8,4,4,LC,0
Oeneis glacialis,5.77,6,6,LC,EuropeanEndemic,0,0,4.8,4,4,LC,0
Lysandra coridon,5.72,30,30,LC,EuropeanEndemic,0,0,6.8,18,18,LC,0
Melitaea deione,5.67,6,6,LC,0,0,0,14.6,4,4,LC,0
Apatura ilia,5.61,34,34,LC,0,0,0,8.11,22,22,LC,0
Lasiommata megera,5.56,40,40,LC,0,0,0,4.77,27,27,LC,0
Pyrgus malvae,5.51,35,35,LC,0,0,0,6.34,23,23,LC,0
Coenonympha gardetta,5.5,7,7,LC,EuropeanEndemic,0,0,4.17,5,5,LC,0
Satyrium spini,5.4,28,28,LC,0,0,0,6.43,17,17,LC,0
Lasiommata maera,5.1,36,36,LC,0,0,0,7.25,23,23,LC,0
Plebejus argus,5.05,38,38,LC,0,0,0,6.87,25,25,LC,0
Gegenes nostrodamus,4.84,9,9,LC,0,0,0,5.14,6,6,LC,0
Papilio machaon,4.52,40,40,LC,0,0,0,6.03,27,27,LC,0
Erebia ottomana,4.39,10,10,LC,0,0,0,3.11,5,5,LC,0
Pyrgus carlinae,4.3,4,4,LC,EuropeanEndemic,0,0,8.25,3,3,LC,0
Charaxes jasius,4.27,10,10,LC,0,0,0,7.86,7,7,LC,0
Colias alfacariensis,4.21,27,27,LC,0,0,0,6.05,16,16,LC,0
Erebia mnestra,4.08,5,5,LC,EuropeanEndemic,0,0,5.75,3,3,LC,0
Erebia montana,4.08,5,5,LC,EuropeanEndemic,0,0,5.75,3,3,LC,0
Erebia triarius,4.08,12,12,LC,EuropeanEndemic,0,0,5.8,6,6,LC,0
Gonepteryx cleopatra,4.04,13,13,LC,0,0,0,8.44,9,9,LC,0
Pontia edusa,3.96,28,28,LC,0,0,0,3.18,18,18,LC,0
Carcharodus alceae,3.85,32,32,LC,0,0,0,5.6,20,20,LC,0
Euchloe simplonia,3.84,5,5,LC,EuropeanEndemic,0,0,10.6,3,3,LC,0
Leptotes pirithous,3.81,20,20,LC,0,0,0,5.08,10,10,LC,0
Lycaena candens,3.75,8,8,LC,0,0,0,5.14,3,3,LC,0
Araschnia levana,3.74,32,32,LC,0,0,0,2.81,23,23,LC,0
Erebia oeme,3.71,18,18,LC,EuropeanEndemic,0,0,5.47,10,10,LC,0
Argynnis paphia,3.67,39,39,LC,0,0,0,5.62,26,26,LC,0
Polyommatus escheri,3.6,13,13,LC,0,0,0,5.83,7,7,LC,0
Leptidea juvernica,3.56,33,33,0,0,0,0,4.86,23,23,0,0
Kirinia roxelana,3.4,10,10,LC,0,0,0,3.71,5,5,LC,0
Parnassius phoebus,3.31,7,7,NT,0,0,0,4.8,4,4,NT,0
Brenthis daphne,3.05,30,30,LC,0,0,0,3,19,19,LC,0
Argynnis pandora,2.88,22,22,LC,0,0,0,6.13,11,11,LC,0
Callophrys rubi,2.84,39,39,LC,0,0,0,3.38,26,26,LC,0
Boloria dia,2.66,33,33,LC,0,0,0,4.88,21,21,LC,0
Issoria lathonia,2.59,38,38,LC,0,0,0,2.6,24,24,LC,0
Favonius quercus,2.49,40,40,LC,0,0,0,3.41,27,27,LC,0
Maniola jurtina,2.48,41,41,LC,0,0,0,1.91,27,27,LC,0
Lycaena tityrus,2.37,34,34,LC,0,0,0,3.15,22,22,LC,0
