"scientificName","taxonID","countryCode","establishmentMeans","source"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","GR","RegularMigrant","Pamperis (2009); Legakis and Maragou (2009)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","CZ","Breeding","Beneš and Konvicka (2017)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","ES","Breeding","Verdú & Galante (2009); Verdú et al. (2011)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","CY","Breeding",
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","MA_AZ","Breeding",
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","MA_CA","Breeding",
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","MA_MA","Breeding",
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","MD","Breeding",
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","LI","RegularMigrant",
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","BG","Breeding","Hristova and Beshkov (2017)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","PL","Breeding","Glowaciñski (2002); Sielezniew (pers. Comm)"
"Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","RO","Breeding","Rakosy (2002)"
