scientific_name,status,endemic,rlc,rlc_numeric,rlc_eur,rlc_eu27,country_code,country_name,part_of_eu,area
Erebia medusa,P,,NT,20,LC,LC,CH,Switzerland,,41290
Erebia medusa,P,,NT,20,LC,LC,CZ,Czech Republic,y,78866
Erebia medusa,P,,NT,20,LC,LC,DE,Germany,y,357168
Erebia medusa,P,,LC,1,LC,LC,FR,France,y,551394
Erebia medusa,P,,LC,1,LC,LC,GR,Greece,y,131940
Erebia medusa,P,,NT,20,LC,LC,HR,Croatia,y,56594
Erebia medusa,P,,VU,30,LC,LC,HU,Hungary,y,93030
Erebia medusa,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia medusa,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Erebia medusa,P,,LC,1,LC,LC,LU,Luxembourg,y,2428
Erebia medusa,P,,NRLA,,LC,LC,MD,Moldova,,33846
Erebia medusa,P,,NRLA,,LC,LC,ME,Montenegro,,13812
Erebia medusa,P,,Unknown,1,LC,LC,MK,North Macedonia,,25713
Erebia medusa,P,,LC,1,LC,LC,PL,Poland,y,312685
Erebia medusa,P,,LC,1,LC,LC,RO,Romania,y,238392
Erebia medusa,P,,LC,1,LC,LC,RS,Serbia,,88361
Erebia medusa,P,,NRLA,,LC,LC,RU,Russia,,3972400
Erebia medusa,P,,LC,1,LC,LC,SI,Slovenia,y,20273
Erebia medusa,P,,LC,1,LC,LC,SK,Slovakia,y,49036
Erebia medusa,P,,NT,,LC,LC,UA,Ukraine,,603628
Erebia melampus,P,,LC,1,LC,LC,AT,Austria,y,83858
Erebia melampus,P,,LC,1,LC,LC,CH,Switzerland,,41290
Erebia melampus,P,,R,20,LC,LC,DE,Germany,y,357168
Erebia melampus,P,,LC,1,LC,LC,FR,France,y,551394
Erebia melampus,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia melampus,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Erebia melas,P,,Unknown,1,LC,LC,AL,Albania,,28748
Erebia melas,P,,LC,1,LC,LC,BA,Bosnia and Herzegovina,,51129
Erebia melas,P,,VU,30,LC,LC,BG,Bulgaria,y,110994
Erebia melas,P,,LC,1,LC,LC,GR,Greece,y,131940
Erebia melas,P,,LC,1,LC,LC,HR,Croatia,y,56594
Erebia melas,P,,NRLA,,LC,LC,ME,Montenegro,,13812
